OBJECTID,SHAPE_STArea__,SHAPE_STLength__,BURIAL_TEAMS,ADM0_NAME,ADM1_NAME,ADM2_NAME,SHAPE_Length,SHAPE_Area
1,1.020605,5.839928,2,GUINEA,N'ZEREKORE,BEYLA,5.839928,1.020605
2,0.469148,3.564056,3,SIERRA LEONE,SOUTHERN,BO,3.564056,0.469148
3,0.443642,3.995924,2,GUINEA,BOKE,BOFFA,3.995924,0.443642
4,0.923394,5.60143,1,GUINEA,BOKE,BOKE,5.60143,0.923394
5,0.667155,4.591902,6,SIERRA LEONE,NORTHERN,BOMBALI,4.591902,0.667155
6,0.331554,2.983273,9,SIERRA LEONE,SOUTHERN,BONTHE,2.983273,0.331554
7,0.093639,1.626389,2,GUINEA,KINDIA,COYAH,1.626389,0.093639
8,0.428039,4.218913,1,GUINEA,FARANAH,DABOLA,4.218913,0.428039
9,0.256096,2.960081,1,GUINEA,MAMOU,DALABA,2.960081,0.256096
10,0.946522,6.397679,1,GUINEA,FARANAH,DINGUIRAYE,6.397679,0.946522
11,0.039431,1.071338,2,GUINEA,CONAKRY,CONAKRY,1.071338,0.039431
12,0.326843,3.043397,1,GUINEA,KINDIA,DUBREKA,3.043397,0.326843
13,1.056339,5.888678,2,GUINEA,FARANAH,FARANAH,5.888678,1.056339
14,0.359425,2.933861,3,GUINEA,KINDIA,FORECARIAH,2.933861,0.359425
15,0.009797,0.402864,20,SIERRA LEONE,WESTERN AREA,FREETOWN,0.402864,0.009797
16,0.920262,6.564825,1,GUINEA,BOKE,GAOUAL,6.564825,0.920262
17,0.353227,3.67052,5,GUINEA,N'ZEREKORE,GUECKEDOU,3.67052,0.353227
18,0.36223,3.397078,9,SIERRA LEONE,EASTERN,KAILAHUN,3.397078,0.36223
19,0.237914,3.00558,4,SIERRA LEONE,NORTHERN,KAMBIA,3.00558,0.237914
20,1.4278,7.550485,3,GUINEA,KANKAN,KANKAN,7.550485,1.4278
21,0.496855,4.15121,5,SIERRA LEONE,EASTERN,KENEMA,4.15121,0.496855
22,0.771177,4.416947,4,GUINEA,KANKAN,KEROUANE,4.416947,0.771177
23,0.717258,4.333873,2,GUINEA,KINDIA,KINDIA,4.333873,0.717258
24,0.509052,3.953333,3,GUINEA,FARANAH,KISSIDOUGO,3.953333,0.509052
25,1.040017,5.485649,13,SIERRA LEONE,NORTHERN,KOINADUGU,5.485649,1.040017
26,0.444426,2.792511,6,SIERRA LEONE,EASTERN,KONO,2.792511,0.444426
27,0.294816,2.890851,1,GUINEA,LABE,KOUBIA,2.890851,0.294815
28,0.447465,4.097114,1,GUINEA,BOKE,KOUNDARA,4.097114,0.447465
29,1.302753,8.02079,2,GUINEA,KANKAN,KOUROUSSA,8.02079,1.302753
30,0.174537,2.057593,1,GUINEA,LABE,LABE,2.057593,0.174537
31,0.220793,2.751776,1,GUINEA,LABE,LELOUMA,2.751776,0.220793
32,0.365964,3.040259,2,GUINEA,N'ZEREKORE,LOLA,3.040259,0.365964
33,0.659143,4.372028,4,GUINEA,N'ZEREKORE,MACENTA,4.372028,0.659143
34,0.687466,3.965604,1,GUINEA,LABE,MALI,3.965604,0.687466
35,0.842068,5.175905,1,GUINEA,MAMOU,MAMOU,5.175905,0.842068
36,0.592524,3.964249,9,SIERRA LEONE,SOUTHERN,MOYAMBA,3.964249,0.592524
37,0.330748,3.190822,2,GUINEA,N'ZEREKORE,N'ZEREKORE,3.190822,0.330748
38,0.371501,3.198085,2,GUINEA,MAMOU,PITA,3.198085,0.371501
39,0.480382,3.638995,6,SIERRA LEONE,NORTHERN,PORT LOKO,3.638995,0.480382
40,0.367487,2.965127,8,SIERRA LEONE,SOUTHERN,PUJEHUN,2.965127,0.367487
41,1.479278,5.776066,2,GUINEA,KANKAN,SIGUIRI,5.776066,1.479278
42,0.62724,4.939125,2,GUINEA,KINDIA,TELIMELE,4.939125,0.62724
43,0.503035,4.567999,4,SIERRA LEONE,NORTHERN,TONKOLILI,4.567999,0.503035
44,0.495748,3.484253,1,GUINEA,LABE,TOUGUE,3.484253,0.495748
45,0.262253,2.344267,2,GUINEA,N'ZEREKORE,YOMOU,2.344267,0.262253
46,0.395534,2.993142,5,LIBERIA,GRAND CAPE MOUNT,GRAND CAPE MOUNT,2.993142,0.395534
47,0.151872,2.403433,18,LIBERIA,MONTSERRADO,MONTSERRADO,2.403433,0.151872
48,0.219788,3.123969,7,LIBERIA,MONTSERRADO,MARGIBI,3.123969,0.219788
49,0.632091,4.645446,8,LIBERIA,GRAND BASSA,GRAND BASSA,4.645446,0.632091
50,0.453072,3.622559,2,LIBERIA,GRAND BASSA,RIVER CESS,3.622559,0.453072
51,0.788193,4.347598,2,LIBERIA,SINOE,SINOE,4.347598,0.788193
52,0.313211,2.731414,1,LIBERIA,MARYLAND,GRAND KRU,2.731414,0.313211
53,0.186951,2.472223,2,LIBERIA,MARYLAND,MARYLAND,2.472223,0.186951
54,0.411751,3.554577,1,LIBERIA,GRAND GEDEH,RIVER GEE,3.554577,0.411751
55,0.875184,5.451777,2,LIBERIA,GRAND GEDEH,GRAND GEDEH,5.451777,0.875184
56,0.942266,5.186646,4,LIBERIA,NIMBA,NIMBA,5.186646,0.942266
57,0.708926,4.990263,3,LIBERIA,BONG,BONG,4.990263,0.708926
58,0.807693,4.866648,5,LIBERIA,GBARPOLU,GBARPOLU,4.866648,0.807693
59,0.807548,5.346844,7,LIBERIA,LOFA,LOFA,5.346844,0.807548
60,0.157483,2.125998,2,LIBERIA,MONTSERRADO,BOMI,2.125998,0.157483
