Country,Existing bed capacity,Date
Guinea,130,2014-09-05
Liberia,314,2014-09-05
Sierra Leone,130,2014-09-05
Guinea,130,2014-09-18
Liberia,315,2014-09-18
Sierra Leone,165,2014-09-18
Guinea,180,2014-09-21
Liberia,315,2014-09-21
Nigeria,66,2014-09-21
Senegal,9,2014-09-21
Sierra Leone,323,2014-09-21
Guinea,160,2014-10-22
Liberia,620,2014-10-22
Sierra Leone,346,2014-10-22
Liberia,620,2014-10-15
Guinea,160,2014-10-15
Sierra Leone,346,2014-10-15
Liberia,593,2014-10-31
Sierra Leone,294,2014-10-31
Guinea,160,2014-10-31
Guinea,160,2014-11-11
Liberia,613,2014-11-11
Sierra Leone,356,2014-11-11
Guinea,160,2014-11-18
Liberia,643,2014-11-18
Sierra Leone,356,2014-11-18
Guinea,160,2014-11-26
Liberia,672,2014-11-26
Sierra Leone,356,2014-11-26
Guinea,245,2014-11-30
Liberia,1269,2014-12-01
Sierra Leone,517,2014-11-30
Guinea,200,2014-12-08
Liberia,1269,2014-12-01
Sierra Leone,553,2014-11-30
Guinea,230,2014-12-15
Liberia,650,2014-12-14
Sierra Leone,615,2014-12-16
Guinea,250,2014-12-21
Liberia,650,2014-12-15
Sierra Leone,833,2014-12-21
Guinea,250,2014-12-28
Liberia,660,2014-12-28
Sierra Leone,896,2014-12-28
